Update,E,I,S,V,Coherence,Risk_Score,Decision,Lambda1
1,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.012,1.0,0.1535972419924183,approve,
2,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.022831500000000005,1.0,0.1535972419924183,approve,
3,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.03257933080089234,1.0,0.1535972419924183,approve,
4,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.04132231171520001,1.0,0.1535972419924183,approve,
5,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.04913372111143699,1.0,0.1535972419924183,approve,
6,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.05608172250421405,1.0,0.1535972419924183,approve,
7,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.06222975132902299,1.0,0.1535972419924183,approve,
8,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.06763686684178796,1.0,0.1535972419924183,approve,
9,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.07235807299226772,1.0,0.1535972419924183,approve,
10,0.6359433568752554,0.8545234812062771,0.20034791969160426,-0.07644461161872336,1.0,0.1535972419924183,approve,0.17959999999999998
